id2,title,authors,venue,year
304586,"[23, 0, 49377, 16857, 722, 254]","[68094, 276402, 1, 47047, 1173807]","[682, 1761, 18, 1102, 6, 1568]",1999
304587,"[80, 188305, 2692, 12, 61461, 5450, 9736, 9047]","[22129, 3195, 9077, 1, 17304, 1842, 930]","[682, 1761, 18, 1102, 6, 1568]",1999
304589,"[430, 6043, 0, 3, 709, 1, 91478, 4, 9047]","[1495603, 0, 1, 1035524, 0, 1, 10859, 177682, 1, 930, 25202, 1, 3175, 1553, 1, 207223, 0]","[682, 1761, 18, 1102, 6, 1568]",1999
304590,"[114751, 181, 21218, 20, 27882]","[1774840, 93925, 1, 145977, 28710, 1, 56934, 0, 1, 1879, 84189, 1, 144730, 761274, 1, 37254, 2153583, 1, 8811, 32029]","[682, 1761, 18, 1102, 6, 1568]",1999
304582,"[23, 0, 27055, 49377, 1935, 254]","[5017, 88978, 1, 8831, 2351, 46075, 1, 54913, 13218, 1, 1346858, 1477, 0]","[682, 1761, 18, 1102, 6, 1568]",1999
304583,"[23, 14337, 15010, 595, 10, 2295, 10340, 5, 147957]","[97544, 53606, 1, 7766, 676119, 1, 620762, 15963, 1, 8831, 31134, 1, 18779, 29989, 1, 196158, 46950, 1, 2772, 5903, 1, 3057, 0, 1, 31150, 141390, 1, 14974, 0, 1, 100653, 276089, 1, 32147, 106375]","[682, 1761, 18, 1102, 6, 1568]",1999
304584,"[23, 1639, 205874, 5768, 6, 3, 0, 1765, 1504]","[3762, 1165800, 1, 144730, 0, 1, 144730, 0]","[682, 1761, 18, 1102, 6, 1568]",1999
304585,"[23, 13771, 1935, 451, 1363]","[1001, 1824046, 1, 218715, 0, 1, 11400, 2132371]","[682, 1761, 18, 1102, 6, 1568]",1999
306112,"[335086, 10, 40, 186267, 1400, 5, 221, 447, 722]","[4475, 2426, 16693, 1, 3898, 1397, 8456, 1, 3334, 0]","[24493, 196862, 4117]",1998
306115,"[80, 602803, 4485, 12, 4253, 2439, 2645]","[20767, 26487, 1, 1943, 0]","[24493, 196862, 4117]",1998
306119,"[1073, 4, 4110, 6, 107516, 10, 7, 3712, 2439, 486, 247]","[51622, 79736, 1, 25121, 231649, 1, 10885, 1175925]","[24493, 196862, 4117]",1998
306124,"[32686, 605, 1056, 4541, 157, 252, 14722, 498, 4827, 7518]","[3505, 3682, 506366, 1, 17060, 2574, 892064]","[24493, 196862, 4117]",1998
306102,"[612156, 16356, 10, 4108, 6, 585, 2899, 4, 617, 4568]","[2137, 582293, 1, 79619, 258536, 1, 1397, 10570, 40444]","[24493, 196862, 4117]",1998
306103,"[2341, 150815, 2439, 22869]","[152818, 12108]","[24493, 196862, 4117]",1998
306105,"[6913, 4, 2439, 11139, 10, 8693, 3, 967, 1759]","[19783, 85817, 1, 1402, 651135]","[24493, 196862, 4117]",1998
306109,"[80, 1166854, 2439, 8056, 18, 3, 709]","[1070323, 0, 1, 584198, 0, 1, 58471, 0, 1, 0, 0, 1, 139848, 1170745, 1, 30490, 0, 1, 0, 0]","[24493, 196862, 4117]",1998
304571,"[0, 10, 31531, 51265, 12, 452, 2820, 336, 1738]","[73204, 1898985, 1, 523962, 474372, 1, 1637, 1794, 1, 1001, 5578, 1, 1494, 27271, 1, 13014, 1668627]","[682, 1761, 18, 1102, 6, 1568]",1999
304570,"[568, 0, 20692, 8044, 12, 709, 181, 14158]","[31427, 17032, 1, 28646, 18608, 1, 759, 296622, 1, 171914, 57135, 1, 28646, 25148]","[682, 1761, 18, 1102, 6, 1568]",1999
304573,"[5496, 39611, 18, 3, 605]","[73467, 0, 1, 191492, 64760, 1, 6717, 795467]","[682, 1761, 18, 1102, 6, 1568]",1999
304572,"[171565, 10, 9047, 293113, 1321, 16191, 5331]","[936751, 72749, 1, 46719, 1555618, 1, 14576, 36342, 1, 0, 35137, 1, 3284, 28973]","[682, 1761, 18, 1102, 6, 1568]",1999
304250,"[23, 152, 12, 5450, 38661, 6525]","[41131, 300, 1, 90667, 12002, 1, 15596, 8538]","[682, 1761, 18, 1102, 6, 1568]",1999
304248,"[27017, 4, 86482, 8, 1359, 14393]","[1637, 0, 1, 7002, 1477, 25505, 1, 46370, 27862, 1, 759, 240927]","[682, 1761, 18, 1102, 6, 1568]",1999
304569,"[1568, 5575, 4, 39292, 8, 13994, 23580]","[37551, 1842, 0, 1, 80339, 1962407, 1, 60904, 158732]","[682, 1761, 18, 1102, 6, 1568]",1999
304568,"[18520, 160478, 336, 397, 246, 336, 9636, 8902]","[36697, 1038355, 1, 37098, 371603, 1, 38058, 634362, 1, 24553, 63314, 1, 60672, 1750132, 1, 17399, 0]","[682, 1761, 18, 1102, 6, 1568]",1999
304579,"[670646, 10, 0, 4495, 267986, 2739]","[2351, 1477, 1705503, 1, 4603, 103367, 1, 1842, 10732, 1, 2605, 13218, 1, 20565, 18554, 1, 1931, 172707, 1, 1397, 25601, 1, 1692, 3046, 18587, 1, 1692, 29840]","[682, 1761, 18, 1102, 6, 1568]",1999
304578,"[0, 10, 7, 254, 12, 503620, 709, 181, 1504, 1, 2017, 1, 4, 722]","[0, 10732, 1, 115684, 42115, 1, 4218, 17951, 1, 1922521, 101550, 1, 705376, 211502, 1, 1744948, 1230661, 1, 0, 17663, 1, 15786, 1217129, 1, 0, 3175, 17951, 1, 195309, 72421, 1, 116425, 56893, 1, 159973, 82486, 1, 0, 411498, 1, 2008152, 68683]","[682, 1761, 18, 1102, 6, 1568]",1999
304581,"[23, 14924, 14809, 6339, 9898, 254]","[265210, 89168, 1, 14499, 2702, 33562, 1, 362001, 0, 1, 126480, 214947]","[682, 1761, 18, 1102, 6, 1568]",1999
304580,"[64807, 10, 7, 254, 12, 4253, 43134, 1583, 722]","[37397, 35137, 1, 31427, 17032, 1, 171914, 57135]","[682, 1761, 18, 1102, 6, 1568]",1999
304575,"[92244, 7518, 630, 27396, 6306, 265, 6467]","[10882, 38106, 1, 446253, 6909, 1692, 451287, 1, 464039, 18608, 1, 14781, 57290]","[682, 1761, 18, 1102, 6, 1568]",1999
304574,"[494806, 478, 1272, 15, 35171, 14, 10, 1005848, 478, 2861, 248, 16320, 928]","[2351, 1477, 1705503, 1, 1477, 514510, 1, 17383, 18554, 1, 1477, 1397, 2007, 1, 1477, 154140, 1, 1477, 3493, 158579, 1, 13797, 2007]","[682, 1761, 18, 1102, 6, 1568]",1999
304577,"[4339, 10, 359, 1411, 9188]","[5779, 273679, 1, 759, 2702, 1825719]","[682, 1761, 18, 1102, 6, 1568]",1999
304576,"[1520415, 612, 2506]","[6218, 662883, 1, 4505, 23112]","[682, 1761, 18, 1102, 6, 1568]",1999
304235,"[18477, 322356, 786, 5, 3, 7017]","[375330, 184419, 1, 0, 62433, 1, 43472, 115515]","[682, 1761, 18, 1102, 6, 1568]",1999
304236,"[26508, 3, 2874, 6, 1773484]","[976, 1416]","[682, 1761, 18, 1102, 6, 1568]",1999
304233,"[8736, 709, 336]","[3117, 423832]","[682, 1761, 18, 1102, 6, 1568]",1999
304234,"[217261, 1, 79, 21, 3409, 5, 37369, 38]","[1842, 12498, 1, 2574, 88942, 1, 2574, 664458, 1, 1692, 0, 1, 4475, 185300, 1, 1692, 120930, 1, 2702, 27982, 1, 2426, 0]","[682, 1761, 18, 1102, 6, 1568]",1999
304231,"[76489, 9047, 4, 336, 7518]","[667640, 204910]","[682, 1761, 18, 1102, 6, 1568]",1999
