id1,title,authors,venue,year
conf/vldb/RusinkiewiczKTWM95,"[15466, 7, 27672, 27505, 3777, 43, 20, 27672, 9954, 3777]","[1673, 0, 1, 2634, 201117, 1, 2018, 247694, 1, 2769, 0, 1, 2289, 133359]",[293984],1995
journals/sigmod/EisenbergM02,"[9338, 38, 9458, 9, 3627, 1143, 9991]","[86, 59195, 1, 2769, 42659]","[459612, 7488]",2002
conf/vldb/AmmannJR95,"[1587, 26542, 8363, 5, 10875, 56, 0, 735317, 6, 26590]","[2289, 149940, 1, 1401, 1002332, 1, 12, 5090]",[293984],1995
journals/sigmod/Liu02,"[5394, 31, 5382]","[2104, 17574]","[459612, 7488]",2002
journals/sigmod/Hammer02,"[1959, 14, 2, 30161, 9505, 1982, 7710, 14, 3066, 92210, 4, 83669, 19, 0, 2100, 16]",[0],[0],2002
conf/vldb/FerrandinaMZFM95,"[48419, 4, 10147, 8732, 8, 2, 16499, 13382, 10147, 2927]","[2557, 1398722, 1, 2018, 13674, 1, 2173, 1169048, 1, 2801, 140025, 1, 2769, 715824]",[293984],1995
conf/vldb/SubietaKL95,"[19729, 8, 170487, 22863, 21180]","[2873, 0, 1, 4294, 1089111, 1, 2769, 0]",[293984],1995
journals/sigmod/BargaL02,"[4598, 2278, 17, 580060, 7030]","[2173, 171995, 1, 1172, 0]","[459612, 7488]",2002
journals/sigmod/Ouksel02,"[17462, 2, 1092, 15125, 2566, 17, 1037, 2408, 2003, 14606, 43, 1594, 1467]",[0],[0],2002
conf/vldb/MoserKK95,"[2104, 38, 55730, 17, 86, 33727, 3160, 9020, 10, 13754, 24950, 3066, 58656, 8, 7, 22038, 60059]","[2557, 50450, 1, 86, 0, 1, 2634, 201117]",[293984],1995
journals/sigmod/Konig-RiesMMPPRSVW02,"[1959, 14, 2, 22161, 7710, 14, 3524, 76, 16404, 10, 4016, 4, 11482, 5851]",[0],[0],2002
conf/vldb/ChaudhuriGS95,"[71097, 6, 27503, 22038, 19287]","[1401, 138107, 1, 1401, 0, 1, 934, 745941]",[293984],1995
journals/sigmod/Kosch02,"[472955, 4, 22038, 10147, 5851]","[2625, 574919]","[459612, 7488]",2002
