id1,title,authors,venue,year
conf/vldb/RusinkiewiczKTWM95,"[18896, 7, 18157, 23465, 1901, 17, 23, 18157, 5058, 1901]","[1317, 2021012, 1, 1418, 231649, 1, 1778, 280770, 1, 1866, 0, 1, 2519, 138896]",[210239],1995
journals/sigmod/EisenbergM02,"[5441, 66, 6913, 11, 3681, 742, 8916]","[80, 57132, 1, 1866, 42350]","[196862, 4117]",2002
conf/vldb/AmmannJR95,"[2156, 18568, 8930, 5, 9763, 53, 1866570, 555953, 6, 19841]","[2519, 195661, 1, 1106, 792511, 1, 13, 3735]",[210239],1995
journals/sigmod/Liu02,"[4361, 21, 3784]","[1580, 17032]","[196862, 4117]",2002
journals/sigmod/Hammer02,"[1076, 18, 3, 24493, 8415, 682, 5950, 18, 1568, 52494, 4, 74350, 15, 2192997, 1322, 14]",[0],[0],2002
conf/vldb/FerrandinaMZFM95,"[34239, 4, 5496, 8608, 8, 3, 16438, 10053, 5496, 1140]","[1886, 0, 1, 1778, 12022, 1, 1801, 1116646, 1, 2366, 130585, 1, 1866, 1151843]",[210239],1995
conf/vldb/SubietaKL95,"[15711, 8, 80380, 15573, 12783]","[2537, 0, 1, 4427, 857938, 1, 1866, 0]",[210239],1995
journals/sigmod/BargaL02,"[4339, 1475, 10, 320724, 4554]","[1801, 273679, 1, 1276, 1825719]","[196862, 4117]",2002
journals/sigmod/Ouksel02,"[11852, 3, 430, 6043, 709, 10, 568, 874, 572, 11946, 17, 1059, 816]",[0],[0],2002
conf/vldb/MoserKK95,"[1580, 66, 64808, 10, 80, 31776, 1102, 6624, 12, 7476, 20943, 1568, 50560, 8, 7, 10680, 80677]","[1886, 54156, 1, 80, 0, 1, 1418, 231649]",[210239],1995
journals/sigmod/Konig-RiesMMPPRSVW02,"[1076, 18, 3, 24721, 5950, 18, 2341, 40, 13432, 12, 1597, 4, 3674, 1854]",[0],[0],2002
conf/vldb/ChaudhuriGS95,"[42513, 6, 19385, 10680, 16191]","[1106, 158404, 1, 1106, 0, 1, 745, 840321]",[210239],1995
journals/sigmod/Kosch02,"[387545, 4, 10680, 5496, 1854]","[2054, 622510]","[196862, 4117]",2002
conf/vldb/LuTD95,"[23, 143332, 112368, 10, 568, 26891, 11946, 5, 15573, 11851]","[2054, 22627, 1, 2537, 10164, 1, 1106, 61523]",[210239],1995
journals/sigmod/RossFS02,"[111258, 18, 59177, 7414]",[0],[0],2002
conf/vldb/TreschPL95,"[1915, 15455, 6, 1136942, 7736]","[1317, 1001749, 1, 1631, 11275, 1, 80, 0]",[210239],1995
journals/sigmod/Geller02,"[1568, 11852, 10, 12598, 3570, 3476, 2769, 4, 11013, 17, 1059, 816]","[1866, 52528]","[196862, 4117]",2002
conf/vldb/MehtaD95,"[8736, 0, 171412, 8, 17832, 5496, 1854]","[1317, 47844, 1, 1276, 53146]",[210239],1995
journals/sigmod/CaplinskasEV02,"[23489, 8, 25628, 4, 874, 1854, 15, 1185031, 14]","[80, 0, 1, 1866, 100767, 1, 2464, 0]","[196862, 4117]",2002
conf/vldb/SrikantA95,"[11852, 62702, 1300, 5077]","[1801, 443922, 1, 1801, 101550]",[210239],1995
conf/vldb/HaasNSS95,"[1600464, 44095, 6, 3, 1427, 6, 49093, 11709, 6, 40, 43998]","[2519, 31851, 1, 1866, 96808, 1, 1106, 276089, 1, 1580, 31672]",[210239],1995
journals/sigmod/Aberer02,"[1059, 816, 13957]","[2537, 1004801]","[196862, 4117]",2002
conf/vldb/FlodinR95,"[8727, 80380, 20148, 20, 936525, 7094, 18668, 17855]","[1106, 825050, 1, 1778, 198456]",[210239],1995
