id	bibtex_string
0	"@article{ref0, 
 author  =  {Suresh M.R and Milstein “A and Direct} , 
 given-names  =  {C} , 
 title  =  {Antigen-Binding Assa to Screen Hybridoma Supernatants.�} , 
 booktitle  =  {Analytical Biochemistry} , 
 volume  =  {151} , 
 issue  =  {1} , 
 year  =  {November 1985)} , 
 pages  =  {192 -- 195} , 
 url  =  {http://dx.doi.org/10.1016/0003-2697(85)90071-5} 
 }"
1	"@article{ref1, 
 author  =  {Prideaux Gary D} , 
 title  =  {“In Rejection of Autonomous Linguistics.” Lingua} , 
 volume  =  {50.3} , 
 year  =  {1980} , 
 pages  =  {245 -- 247} , 
 note  =  {Crossref. Web} 
 }"
1	"@article{ref1, 
 author  =  {Prideaux Gary D} , 
 year  =  {1980} , 
 title  =  {“In Rejection of Autonomous Linguistics.” Lingua 50(3):245–47} 
 }"
2	"@article{ref2, 
 author  =  {OWEN-SMITH B. D. and H. C} , 
 title  =  {BURRY. “IBUPROFEN IN THE MANAGEMENTT OF OSTEOARTHROSIS OF THE HIP.�} , 
 booktitle  =  {Rheumatology} , 
 volume  =  {11} , 
 issue  =  {6} , 
 year  =  {1972} , 
 pages  =  {281 -- 286} , 
 url  =  {http://dx.doi.org/10.1093/rheumatology/11.6.281} 
 }"
3	"@article{ref3, 
 author  =  {Flatman “On and Mrs E and Montague’s Blushing in the Cross-Bath,” Minor Poets of the Caroline Period 3 John Cleveland Thomas} , 
 pages  =  {361 -- 361} , 
 note  =  {1682} 
 }"
3	"@article{ref3, 
 author  =  {Flatman Thomas and Mrs E and Montague’s} , 
 title  =  {Blushing in the Cross-Bath�} , 
 editor  =  {George Saintsbury} , 
 booktitle  =  {Minor Poets of the Caroline Period} , 
 volume  =  {3} , 
 publisher  =  {John Cleveland, Thomas Stanley, Henry King, Thomas Flatman, Nathaniel Whiting} , 
 pages  =  {361 -- 361} 
 }"
4	"@article{ref4, 
 author  =  {Gray Stacy W} , 
 title  =  {“Colon Cancer Patient Information Seeking and the Adoption of Targeted Therapy for on-Label and Off-Label Indications.” Cancer} , 
 volume  =  {115.7} , 
 year  =  {2009} , 
 pages  =  {1424 -- 1434} , 
 note  =  {Crossref. Web} 
 }"
4	"@article{ref4, 
 author  =  {Gray S. W. and Armstrong K and DeMichele A and Schwartz J. S. and Hornik R. C} , 
 year  =  {2009} , 
 title  =  {Colon cancer patient information seeking and the adoption of targeted therapy for on-label and off-label indications} , 
 booktitle  =  {Cancer} , 
 volume  =  {115(7} , 
 pages  =  {1424 -- 1434} , 
 note  =  {doi:10.1002/cncr.24186} 
 }"
4	"@article{ref4, 
 author  =  {Gray SW and Armstrong K and DeMichele A and Schwartz JS and Hornik RC} , 
 title  =  {Colon cancer patient information seeking and the adoption of targeted therapy for on-label and off-label indications. Cancer} , 
 note  =  {2009;115(7):1424–1434. doi:10.1002/cncr.24186} 
 }"
4	"@article{ref4, 
 author  =  {Gray SW and Armstrong K and DeMichele A and Schwartz JS and Hornik RC} , 
 title  =  {Colon cancer patient information seeking and the adoption of targeted therapy for on-label and off-label indications} , 
 booktitle  =  {Cancer} , 
 year  =  {2009} , 
 note  =  {April} , 
 pages  =  {1 -- 115</fpage> - <lpage>7</fpage> - <lpage>1424</fpage> - <lpage>1434} , 
 url  =  {http://dx.doi.org/10.1002/cncr.24186} 
 }"
5	"@article{ref5, 
 author  =  {Thurz�} , 
 title  =  {Eugen. “Die Bikolorierte Mastixreaktion Und Über Die Allgemeine Diagnostische Bedeutung Der Kolloidreaktionen.�} , 
 booktitle  =  {Deutsche Zeitschrift für Nervenheilkunde} , 
 volume  =  {91.4-6} , 
 year  =  {1926} , 
 pages  =  {254 -- 295} , 
 note  =  {Crossref. Web} 
 }"
