doi	id	style	ref_string
10.1016/0003-2697(85)90071-5	0	turabian-fullnote-bibliography	Suresh, M.R., and C. Milstein. “A Direct Antigen-Binding Assa to Screen Hybridoma Supernatants.” Analytical Biochemistry 151, no. 1 (November 1985): 192–195. http://dx.doi.org/10.1016/0003-2697(85)90071-5.
10.1016/0024-3841(80)90029-7	1	modern-language-association	Prideaux, Gary D. “In Rejection of Autonomous Linguistics.” Lingua 50.3 (1980): 245–247. Crossref. Web.
10.1016/0024-3841(80)90029-7	1	american-sociological-association	Prideaux, Gary D. 1980. “In Rejection of Autonomous Linguistics.” Lingua 50(3):245–47. Retrieved (http://dx.doi.org/10.1016/0024-3841(80)90029-7).
10.1093/rheumatology/11.6.281	2	turabian-fullnote-bibliography	OWEN-SMITH, B. D., and H. C. BURRY. “IBUPROFEN IN THE MANAGEMENTT OF OSTEOARTHROSIS OF THE HIP.” Rheumatology 11, no. 6 (1972): 281–286. http://dx.doi.org/10.1093/rheumatology/11.6.281.
10.1093/oseo/instance.00016480	3	ieee	[1]T. Flatman, “On Mrs. E. Montague’s Blushing in the Cross-Bath,” Minor Poets of the Caroline Period, Vol. 3: John Cleveland, Thomas Stanley, Henry King, Thomas Flatman, Nathaniel Whiting, pp. 361–361, Jan. 1682.
10.1093/oseo/instance.00016480	3	american-sociological-association	Flatman, Thomas. 1682. “On Mrs. E. Montague’s Blushing in the Cross-Bath” edited by George Saintsbury. Minor Poets of the Caroline Period, Vol. 3: John Cleveland, Thomas Stanley, Henry King, Thomas Flatman, Nathaniel Whiting 361–361. Retrieved (http://dx.doi.org/10.1093/oseo/instance.00016480).
10.1002/cncr.24186	4	modern-language-association	Gray, Stacy W. et al. “Colon Cancer Patient Information Seeking and the Adoption of Targeted Therapy for on-Label and Off-Label Indications.” Cancer 115.7 (2009): 1424–1434. Crossref. Web.
10.1002/cncr.24186	4	apa	Gray, S. W., Armstrong, K., DeMichele, A., Schwartz, J. S., & Hornik, R. C. (2009). Colon cancer patient information seeking and the adoption of targeted therapy for on-label and off-label indications. Cancer, 115(7), 1424–1434. doi:10.1002/cncr.24186
10.1002/cncr.24186	4	american-medical-association	1. Gray SW, Armstrong K, DeMichele A, Schwartz JS, Hornik RC. Colon cancer patient information seeking and the adoption of targeted therapy for on-label and off-label indications. Cancer. 2009;115(7):1424–1434. doi:10.1002/cncr.24186.
10.1002/cncr.24186	4	council-of-science-editors	1. Gray SW, Armstrong K, DeMichele A, Schwartz JS, Hornik RC. Colon cancer patient information seeking and the adoption of targeted therapy for on-label and off-label indications. Cancer [Internet]. 2009 April 1;115(7):1424–1434. Available from: http://dx.doi.org/10.1002/cncr.24186
10.1007/bf01675520	5	modern-language-association	v. Thurzó, Eugen. “Die Bikolorierte Mastixreaktion Und Über Die Allgemeine Diagnostische Bedeutung Der Kolloidreaktionen.” Deutsche Zeitschrift für Nervenheilkunde 91.4-6 (1926): 254–295. Crossref. Web.
10.1007/bf01675520	5	iso690-author-date-en	V. THURZÓ, Eugen, 1926, Die bikolorierte Mastixreaktion und über die allgemeine diagnostische Bedeutung der Kolloidreaktionen. Deutsche Zeitschrift für Nervenheilkunde [online]. May 1926. Vol. 91, no. 4-6, p. 254–295. DOI 10.1007/bf01675520. Available from: http://dx.doi.org/10.1007/bf01675520
10.1007/bf01675520	5	chicago-annotated-bibliography	v. Thurzó, Eugen. “Die Bikolorierte Mastixreaktion Und Über Die Allgemeine Diagnostische Bedeutung Der Kolloidreaktionen.” Deutsche Zeitschrift Für Nervenheilkunde 91, no. 4–6 (May 1926): 254–295. doi:10.1007/bf01675520.
10.1007/bf01675520	5	ieee	[1]E. v. Thurzó, “Die bikolorierte Mastixreaktion und über die allgemeine diagnostische Bedeutung der Kolloidreaktionen,” Deutsche Zeitschrift für Nervenheilkunde, vol. 91, no. 4–6, pp. 254–295, May 1926.
10.1002/app.35676	6	american-medical-association	1. Li P, Hu X, Song G, Chu PK, Xu Z. Facile preparation of cationic P (St-BA-METAC) copolymer nanoparticles and the investigation of their interaction with bovine serum albumin. Journal of Applied Polymer Science. 2011;125(2):864–869. doi:10.1002/app.35676.
