doi,id,style,reference string
10.1111/jomf.12477,1,mcgill-en,"Augustine, Jennifer March, Kate C Prickett & Daniela V Negraia. “Doing It All? Mothers’ College Enrollment, Time Use, and Affective Well-being” (2018) 80:4 Journal of Marriage and Family 963, online: <http://dx.doi.org/10.1111/jomf.12477>."
10.1097/cco.0b013e3283592331,2,council-of-science-editors,"1. Falanga A, Marchetti M, Russo L. Venous thromboembolism in the hematologic malignancies. Current Opinion in Oncology [Internet]. 2012 November;24(6):702–710. Available from: http://dx.doi.org/10.1097/cco.0b013e3283592331"
10.1097/cco.0b013e3283592331,2,mcgill-en,"Falanga, Anna, Marina Marchetti & Laura Russo. “Venous thromboembolism in the hematologic malignancies” (2012) 24:6 Current Opinion in Oncology 702, online: <http://dx.doi.org/10.1097/cco.0b013e3283592331>."
10.1097/cco.0b013e3283592331,2,turabian-fullnote-bibliography,"Falanga, Anna, Marinaa Marchetti, and Laura Russo. “Venous Thromboembolism in the Hematologic Malignancies.” Current Opinion in Oncology 24, no. 6 (November 2012): 702–710. http://dx.doi.org/10.1097/cco.0b013e3283592331."
10.2307/1112585,3,american-medical-association,1. Income and Capital under a Trust of Corporate Stock. Columbia Law Review. 1923;23(4):369. doi:10.2307/1112585.
10.2307/1112585,3,american-sociological-association,Anon. 1923. “Income and Capitall Under a Trust of Corporate Stock.” Columbia Law Review 23(4):369. Retrieved (http://dx.doi.org/10.2307/1112585).
10.2307/1112585,3,ieee,"[1]“Income and Capital under a Trust of Corporate Stock,” Columbia Law Review, vol. 23, no. 4, p. 369, Apr. 1923."
10.2307/1112585,3,american-chemical-society-author-date,"Income and Capital Under a Trust of Corporate Stock. Columbia Law Review 1923, 23, 369."
10.2307/1112585,3,mcgill-en,"“Income and Capital under a Trust of Corporate Stock” (1923) 23:4 Columbia Law Review 369, online: <http://dx.doi.org/10.2307/1112585>."
10.2307/1112585,3,apa,"Income and Capital under a Trust of Corporate Stock. (1923). Columbia Law Review, 23(4), 369. doi:10.2307/1112585"
10.2307/1112585,3,iso690-author-date-en,"Income and Capital under a Trust of Corporate Stock, 1923. Columbia Law Review [online], Vol. 23, no. 4, p. 369. DOI 10.2307/1112585. Available from: http://dx.doi.org/10.2307/1112585"
10.1007/978-1-349-16246-8_1,4,chicago-annotated-bibliography,"Thirlwall, A. P. “Balance-of-Payments Accounting and the Foreign-Exchange Market.” Balance-of-Payments Theory and the United Kingdom Experience (1980): 1–47. doi:10.1007/978-1-349-16246-8_1."
10.1007/978-1-349-16246-8_1,4,acm-sig-proceedings,"[1]Thirlwall, A.P. 1980. Balance-of-Payments Accounting and the Foreign-Exchange Market. Balance-of-Payments Theory and the United Kingdom Experience. (1980), 1–47."
10.1007/978-1-349-16246-8_1,4,american-medical-association,1. Thirlwall AP. Balance-of-Payments Accounting and the Foreign-Exchange Market. Balance-of-Payments Theory and the United Kingdom Experience. 1980:1–47. doi:10.1007/978-1-349-16246-8_1.
